,Height,Width,Line Models,Shaded Models?,Sewing,Diagram,Misc. Media,Color,Organization,Number,Title,Subtitles,
p. 1,2699,1833,,One,,,,Yes,Image above words, ,The One Hour Dress,With 17 New Designs for 1921, 
p. 2,2472,1716,,One,,,Certificate,No,"Certification above words, model bottom left", ,One Hour Dress Made in 34 Minutes!, , 
p. 3,2472,1716,,Five,,,Author Name,No,Models surrounding title,Page One,Making a Dress in an Hour, ,
p. 4,2472,1716,Seven,Four, ,,,No,Models centered above text,Page Two,,,
p. 5,2472,1716,Four,,,,Measurement List,No,Models centered above text,Page Three,Step One-Take Your Measurment,"For Convenience, Write Your Measurements Here", 
p. 6,2472,1716,,,One,One,,No,"Diagram centered above text, sewing bottom left corner",Page Four,Step Two-Divide the Material,Materials Required, 
p. 7,2472,1716,,,One,One,,No,"Diagram centered above text, sewing bottom right corner",Page Five,Step Three-Cut Out Belt and Skirt, ,
p. 8,2472,1716,,,,Two,,No,Diagram top left and bottom center,Page Six,Step Four-Cut Out the Blouse,Shaping the Neck, 
p. 9,2472,1716,,,One,One,,No,"Diagram centered above text, sewing bottom right corner",Page Seven,,Shaping the Sleeves, 
p. 10,2472,1716,,,,One,,No,Diagram centered above text,Page Eight,Step Five-Bind Neck and Sleeves,Binding the Sleeves / Binding the Neck, 
p. 11,2472,1716,,,One,One,,No,"Diagram above text, sewing right bottom corner",Page Nine,Step Six-Join the Blouse and Skirt, ,
p. 12,2472,1716,,,,One,,No,Diagram centered above text,Page Ten,Step Seven-Complete the Skirt, ,
p. 13,2472,1716,,,One,One,,No,"Diagram above text, sewing bottom right corner",Page Eleven,Step Eight-Complete the Blouse, ,
p. 14,2472,1716,,,One,One,,No,"Diagram above text, sewing left bottom corner",Page Twelve,Step Nine-Make the Belt,Make Tailored Bow for Belt, 
p. 15,2472,1716,Three,,One,,,No,"Models above text, sewing bottom right corner",Page Thirteen,Step Ten-Finish the Dress, ,
p. 16,2472,1716,Five,,,,,No,Models centered below text,Page Fourteen,Variations of the One Hour Dress, ,
p. 17,2472,1716,Two,Two,,,,No,Models top right,Page Fifteen,,,
p. 18,2472,1716,,,,,,No,Paragraphs only,264WI-12605,Other Variations Shown in This Book, ,
p. 19,2472,1716,,,,,Author Image,No,"Author image top right, location bottom center", ,Learn at Home to Make Attractive Becoming Clothes,Woman's Institute New Course in Dressmaking and Designing, 
p. 20,2699,1833,,,,,Publisher Stamp,Yes,Logo upside down in center, ,,,
p. 21,1096,1705,,One,,,Inquiry Checklist,No,"Model on center left, title at top right",12655,"How to Design, Plan, and Make Attractive Clothes",Woman's Institute, 
p. 22,1096,1705,,,,,Address and Stamp Place,No,"Address in center, stamp top right",195W1,Woman's Institute,"of Domestic Arts & Sciences, Inc. Scranton, Penna. ", 